분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
지수정규화|해외지수,S&P MidCap 400,S&P 미드캡 400 지수,"S&P DJI가 산출하는 미국 중형주 400종목 지수로, 대형주(S&P500)와 소형주(S&P600) 사이 구간을 대표한다. 데이터에 'S&P Mid Cap 400 TR'(12건)로 출현한다.",S&P Mid Cap 400; S&P 400; 미국 중형주; 미드캡400; 에스앤피400,티커 MID,high,,https://www.spglobal.com/spdji/en/indices/equity/sp-400/
지수정규화|해외지수,NASDAQ100,나스닥 100 지수,"나스닥(Nasdaq Global Indexes)이 산출하는, 나스닥 상장 비금융 대형주 100종목의 수정 시가총액가중 지수로 미국 기술·성장주의 대표 벤치마크다. QQQ ETF의 기초지수다.",NASDAQ 100; 나스닥100; 나스닥 100; NDX; 나스닥(구어); QQQ 지수; 미국 기술주,티커 NDX(PR)/XNDX(TR),high,,https://www.nasdaq.com/solutions/global-indexes
지수정규화|해외지수,NASDAQ Composite,나스닥 종합지수,"나스닥 시장에 상장된 사실상 전 종목(약 3천 개 이상)을 포함하는 시가총액가중 종합지수다. 뉴스에서 '나스닥 지수'로 통칭되는 것이 보통 이 지수이며, 나스닥100(상위 100종목)과 구별해야 한다.",나스닥종합; 나스닥 종합; 나스닥지수; COMP; Nasdaq Composite,티커 COMP,high,,https://www.nasdaq.com/solutions/global-indexes
지수정규화|해외지수,Dow Jones Industrial Average,다우존스 산업평균지수,"S&P DJI가 산출하는 미국 우량주 30종목의 가격가중 지수로, 세계에서 가장 오래된 주가지수 중 하나다. 데이터의 'Dow Jones Industrial Average CR'(6건)은 가격 기준 변형이다.",다우존스; 다우; DJIA; 다우30; 다우지수; 다우존스30; 미국 우량주 30,티커 DJIA/DJI,high,,https://www.spglobal.com/spdji/en/indices/equity/dow-jones-industrial-average/
지수정규화|해외지수,Russell 1000 Growth,러셀 1000 성장주 지수,FTSE Russell이 산출하는 미국 대형주 지수 Russell 1000 중 성장주 스타일(높은 PBR·이익성장 전망) 종목으로 구성된 지수다. 미국 대형 성장주 펀드의 표준 벤치마크다.,러셀1000성장; 러셀 1000 그로스; 미국 대형 성장주; Russell 1000 Growth TR,,high,,https://www.lseg.com/en/ftse-russell/indices/russell-us
지수정규화|해외지수,Russell 1000 Value,러셀 1000 가치주 지수,"Russell 1000 중 가치주 스타일(낮은 PBR 등) 종목으로 구성된 FTSE Russell 지수로, 미국 대형 가치주 펀드의 표준 벤치마크다.",러셀1000가치; 러셀 1000 밸류; 미국 대형 가치주; Russell 1000 Value TR,,high,,https://www.lseg.com/en/ftse-russell/indices/russell-us
지수정규화|해외지수,Russell 2000,러셀 2000 지수,FTSE Russell의 미국 전체주식 지수 Russell 3000 중 시가총액 하위 2000종목으로 구성된 미국 소형주 대표 지수다. IWM 등 소형주 ETF의 기초지수다.,러셀2000; 러셀 2000; 미국소형주; 미국 소형주 지수; Russell 2000 TR; RUT,,high,,https://www.lseg.com/en/ftse-russell/indices/russell-us
지수정규화|해외지수,Russell 3000,러셀 3000 지수,미국 상장주식 상위 3000종목을 포함해 미국 투자가능 주식시장의 약 96~98%를 커버하는 FTSE Russell의 광범위 시장지수다.,러셀3000; 미국 전체주식; 미국 광범위 시장; Russell 3000 TR,,high,,https://www.lseg.com/en/ftse-russell/indices/russell-us
지수정규화|해외지수,MSCI EAFE,MSCI EAFE 지수(미국·캐나다 제외 선진국),"MSCI가 산출하는 유럽·호주·극동(Europe, Australasia, Far East) 선진국 대·중형주 지수로, 북미(미국·캐나다)를 제외한 선진국 주식의 대표 벤치마크다. 데이터에는 'MSCI EAFE NR USD'(28건)로 출현한다.",MSCI 이에이프; 선진국(북미 제외); 선진국 ex 북미; 유럽·호주·극동; EAFE; MSCI EAFE NR USD,NR USD = 미달러 기준 세후 총수익,high,,https://www.msci.com/indexes (MSCI EAFE Index factsheet)
지수정규화|해외지수,MSCI ACWI,MSCI 전세계 지수(All Country World Index),"선진국 23개국과 신흥국 시장을 모두 포함하는 MSCI의 전세계 대·중형주 지수다. 데이터에 'MSCI AC World NR USD'(해외ETF 19건), 'MSCI ACWI'(국내ETF 6건) 등으로 표기가 갈리므로 동일 지수로 정규화해야 한다.",MSCI AC World; 엠에스씨아이 전세계; 전세계 주식; 글로벌 주식지수; ACWI; MSCI ACWI CR; MSCI AC World NR USD; 올컨트리,,high,,https://www.msci.com/indexes (MSCI ACWI Index factsheet)
지수정규화|해외지수,MSCI ACWI ex USA,MSCI 전세계(미국 제외) 지수,"MSCI ACWI에서 미국을 제외한 선진·신흥국 대·중형주 지수로, 미국 외 글로벌 분산투자의 대표 벤치마크다. 데이터에 'MSCI AC World ex USA NR USD'(20건)로 출현한다.",MSCI AC World ex USA; 미국제외 전세계; 미국 제외 글로벌; ACWI ex US,,high,,https://www.msci.com/indexes (MSCI ACWI ex USA Index factsheet)
지수정규화|해외지수,MSCI EM,MSCI 신흥국 지수(Emerging Markets),"중국·인도·대만·한국 등 신흥국 대·중형주로 구성된 MSCI의 신흥시장 대표 지수다. 데이터에 'MSCI EM (Emerging Markets) NR USD'(해외 25건), 'MSCI EM (EMERGING MARKETS)'(국내 1건)로 출현하므로 동일 정규화가 필요하다.",MSCI Emerging Markets; 신흥국 지수; 이머징마켓; 이머징 지수; EM 지수; MSCI EM NR USD,,high,,https://www.msci.com/indexes (MSCI Emerging Markets Index factsheet)
지수정규화|해외지수,MSCI North America,MSCI 북미 지수,미국과 캐나다의 대·중형주로 구성되어 북미 시장 유동주식 시가총액의 약 85%를 커버하는 MSCI 지수다. 국내ETF 데이터에 'MSCI NORTH AMERICA'(4건)로 출현한다.,MSCI 북미; 북미 지수; 미국+캐나다; MSCI NORTH AMERICA,,high,,https://www.msci.com/indexes/index/990200
지수정규화|해외지수,MSCI China,MSCI 중국 지수,본토 A주·H주·ADR 등 중국 기업 주식을 포괄하는 MSCI의 중국 대표 지수다. 국내ETF 데이터에 'MSCI CHINA'(2건)로 출현한다.,MSCI 차이나; 중국 지수; 중국 주식; MSCI CHINA,,high,,https://www.msci.com/indexes (MSCI China Index factsheet)
지수정규화|해외지수,MSCI ACWI 섹터지수(IT/헬스케어),MSCI ACWI 정보기술/헬스케어 섹터지수,"MSCI ACWI를 GICS 섹터 기준으로 나눈 하위 지수로, 'MSCI ACWI Information Technology'는 전세계 IT 섹터, 'MSCI ACWI Health Care'는 전세계 헬스케어 섹터 주식으로 구성된다. 국내ETF 데이터에 각각 2건, 1건 출현한다.",MSCI ACWI IT; 전세계 정보기술; 글로벌 IT 지수; 전세계 헬스케어; 글로벌 헬스케어 지수,GICS 섹터 분류 기반,high,,https://www.msci.com/indexes (MSCI ACWI Sector Indexes)
지수정규화|해외지수,Bloomberg U.S. Aggregate Bond,블룸버그 미국 종합채권지수,"미국 투자등급 채권(국채·정부기관채·MBS·ABS·회사채 등)을 포괄하는 미국 채권시장의 대표 벤치마크로, 구 리먼(Lehman)·바클레이즈(Barclays) 종합채권지수를 2016년부터 블룸버그가 승계했다. AGG·BND 등 대형 채권 ETF의 기초지수이며 데이터에 89건으로 채권형 최다 출현한다.",미국종합채권; 미국 종합채권지수; AGG지수; 블룸버그 애그리게이트; Barclays US Aggregate; Lehman Aggregate; US Agg,티커 LBUSTRUU,high,,https://en.wikipedia.org/wiki/Bloomberg_US_Aggregate_Bond_Index
지수정규화|해외지수,Bloomberg Municipal Bond,블룸버그 미국 지방채지수,미국 주·지방정부가 발행하는 투자등급 면세 지방채(municipal bond) 시장을 대표하는 블룸버그 지수다. 데이터에 'Bloomberg Municipal Bond TR'(17건)로 출현한다.,미국 지방채; 뮤니채권; 뮤니시펄 본드; 면세채권 지수,,medium,,https://www.bloomberg.com/professional/products/indices/ (Bloomberg Fixed Income Indices)
지수정규화|해외지수,Bloomberg Commodity,블룸버그 원자재지수(BCOM),"에너지·곡물·금속 등 6개 섹터 20여 개 원자재 선물로 구성된 분산형 원자재 지수로, 유동성 2/3·세계 생산량 1/3 비중으로 가중하고 단일 원자재 15%·섹터 33% 상한을 둔다. 원자재 분산투자 펀드의 표준 벤치마크다.",블룸버그 커머디티; 원자재지수; 상품지수; BCOM; 구 DJ-UBS Commodity,티커 BCOM,high,,https://assets.bbhub.io/professional/sites/10/BCOM-Methodology.pdf
지수정규화|해외지수,ICE BofA US 3-Month Treasury Bill,ICE BofA 미국 3개월 국채(T-Bill) 지수,만기 3개월 이내의 미국 재무부 단기국채(T-Bill) 1개 종목을 매월 교체 보유하는 방식으로 산출되는 현금성 수익률 벤치마크다(티커 G0O1). 머니마켓·초단기채 ETF의 기초지수이자 무위험수익률 대용으로 쓰인다.,미국 3개월 국채; T-Bill 지수; 미국 단기국채; 현금성 벤치마크; BofA Merrill Lynch 3-Month T-Bill,티커 G0O1,high,,https://etfdb.com/index/ice-bofa-us-treasury-bill-3-month-index/
지수정규화|해외지수,ICE U.S. Treasury 20+ Year Bond,ICE 미국 20년 이상 장기국채지수,"잔존만기 20년 초과 미국 국채로 구성된 시가총액가중 지수로, 매월 말 리밸런싱한다. 대표 장기국채 ETF인 iShares TLT의 기초지수라서 'TLT 지수'로도 불린다.",미국 장기국채; 미국 20년+ 국채; TLT 지수; 초장기 미국채,티커 IDCOT20T(TR),high,,https://www.ishares.com/us/products/239454/ishares-20-year-treasury-bond-etf
지수정규화|해외지수,CBOE S&P 500 BuyWrite (BXM),CBOE S&P500 바이라이트(커버드콜) 지수,S&P500 현물을 보유하면서 등가격(ATM) 1개월 콜옵션을 매월 매도하는 가상의 커버드콜 전략 총수익을 측정하는 Cboe 지수다. 미국 커버드콜 ETF들의 대표 벤치마크다.,BXM; 커버드콜 지수; 바이라이트; 콜옵션 매도 전략지수; S&P500 커버드콜,티커 BXM,high,,https://cdn.cboe.com/api/global/us_indices/governance/Cboe_BuyWrite_Indices_Methodology.pdf
지수정규화|해외지수,CME CF Bitcoin Reference Rate - New York Variant,CME CF 비트코인 기준환율 뉴욕변형(BRRNY),"CF Benchmarks가 주요 암호화폐 거래소들의 BTC-USD 체결 데이터를 집계해 뉴욕시간 16시(미국 증시 마감) 기준으로 하루 한 번 산출하는 비트코인 기준가격이다. 미국 현물 비트코인 ETF들의 NAV 산출 벤치마크로 널리 쓰이며, 데이터의 'CR USD'는 가격 기준·달러 표시를 뜻한다.",BRRNY; 비트코인 기준가; 비트코인 지수; 비트코인 레퍼런스 레이트; CME 비트코인,약칭 BRRNY. 런던 16시 기준은 BRR(뉴욕변형 아님),high,,https://www.cfbenchmarks.com/data/indices/BRRNY
지수정규화|해외지수,NYSE FANG+,NYSE 팡플러스 지수,"ICE Data Indices가 산출하는, 미국 빅테크·기술성장주 10종목을 각 10%씩 동일가중해 분기마다 재조정하는 지수다. 국내에서 '빅테크 10종목 지수'로 알려져 관련 레버리지 ETN·ETF의 기초지수로 쓰인다.",팡플러스; FANG+; 팡 지수; NYSE US Big Tech 10; 빅테크 10,"10종목 동일가중, 분기 리밸런싱",high,,https://www.ice.com/publicdocs/data/NYSE_FANGplus_Index_Methodology.pdf
지수정규화|해외지수,LBMA Gold Price PM,LBMA 금 가격 오후 벤치마크,ICE Benchmark Administration(IBA)이 런던시간 15시에 전자 경매로 결정하는 국제 금 현물의 글로벌 기준가격이다(지수라기보다 상품 벤치마크 가격). GLD·IAU 등 금 현물 ETF의 가치평가 기준으로 쓰인다.,금 시세; 국제 금가격; 런던 금가격; LBMA 골드; 금 현물 벤치마크,"USD/트로이온스, 런던 15:00 경매(AM은 10:30)",high,,https://www.ice.com/iba/lbma-precious-metals
지수정규화|해외지수,Alerian MLP,알레리안 MLP 지수,"에너지 원자재의 수송·저장 등 미드스트림 사업에서 현금흐름 대부분을 얻는 미국 에너지 인프라 MLP(마스터합자조합)로 구성된 대표 지수로, 상한부 유동주식 시가총액가중 방식이다. 현재 VettaFi가 산출하며 가격형(AMZ)·총수익형(AMZX)이 있다.",알레리안; MLP 지수; 에너지 인프라 지수; 미드스트림 지수; AMZ,"티커 AMZ(PR)/AMZX(TR), 종목당 10% 상한",high,,https://www.vettafi.com/indexing/index/amz
지수정규화|해외지수,Rogers International Commodity TR,로저스 국제 원자재 지수(RICI),"짐 로저스(Jim Rogers)가 1998년 만든 글로벌 원자재 지수로, 세계 소비 비중을 반영해 38개 원자재 선물로 구성되며 Beeland Interests가 소유하고 RICI 위원회가 연 1회 구성을 검토한다. 국내ETF 데이터에 1건 출현한다.",RICI; 로저스 원자재; 로저스 상품지수; 짐로저스 지수,블룸버그 심볼 ROGRTR(TR),high,,https://www.beelandinterests.com/the-rici/
지수정규화|해외지수,DWGRTT,다우존스 글로벌 셀렉트 리츠 총수익지수(추정),"국내ETF 데이터의 'DWGRTT 90%'에 등장하는 DWGRTT는 S&P DJI의 Dow Jones Global Select REIT Index 총수익(TR) 버전 티커로 추정된다(가격형 티커 DWGRT 확인, 말미 T는 Total Return 관행). 글로벌 상장 리츠로 구성된 지수로 국내 글로벌리츠 ETF의 기초지수로 쓰인다.",다우존스 글로벌 리츠; Dow Jones Global Select REIT; 글로벌 리츠 지수; DWGRT,'DWGRTT 90%'는 동 지수 90% 가중 혼합 BM으로 추정,medium,,https://www.spglobal.com/spdji/en/indices/equity/dow-jones-global-select-reit-index/ + https://www.investing.com/indices/dj-global-select-reit
지수정규화|국내지수,KOSPI200,코스피 200 지수,한국거래소(KRX)가 유가증권시장 상장종목 중 시장대표성·유동성·업종대표성을 기준으로 선정한 200종목을 유동주식 시가총액가중으로 산출하는 한국 주식시장의 대표 지수다. 국내 주가지수 선물·옵션과 다수 ETF의 기초지수다.,코스피200; 코스피 200; KOSPI 200; K200; 코스피이백,1990.1.3=100 기준,high,,https://ko.wikipedia.org/wiki/%EC%BD%94%EC%8A%A4%ED%94%BC_200 (KRX 산출)
지수정규화|국내지수,코스닥150,코스닥 150 지수,한국거래소가 코스닥시장 상장종목 중 시장대표성 있는 150종목으로 산출하는 코스닥 대표지수다. 데이터의 '코스닥150 150%'는 코스닥150 일간수익률의 1.5배를 추종하는 레버리지 ETF의 벤치마크 표기로 해석된다.,코스닥 150; KOSDAQ150; KOSDAQ 150; 코스닥지수(구어),,high,,https://open.krx.co.kr/contents/OPN/02/02010100/OPN02010100.jsp
지수정규화|국내지수,KRX300,KRX 300 지수,한국거래소가 유가증권시장과 코스닥시장을 통합해 시장 대표 300종목으로 산출하는 통합 대표지수다. 국내ETF 데이터에 'KRX 300'(1건)으로 출현한다.,KRX 300; 케이알엑스300; 코스피·코스닥 통합지수,,high,,https://open.krx.co.kr/contents/OPN/02/02010100/OPN02010100.jsp
지수정규화|국내지수,KRX 미디어통신,KRX 미디어&엔터테인먼트/통신 섹터지수,"한국거래소가 산출하는 KRX 섹터지수 시리즈 중 미디어·통신 업종 종목으로 구성된 지수다. KRX는 KRX300·섹터지수 등 1,000개 이상의 지수를 산출하며, 정확한 공식 지수명(예: KRX 미디어&엔터테인먼트)은 KRX 정보데이터시스템에서 확인이 필요하다.",KRX 미디어; KRX 통신; 미디어통신 섹터; 미디어엔터 지수,,medium,,https://open.krx.co.kr/contents/OPN/02/02010100/OPN02010100.jsp
지수정규화|국내지수,iSelect K-REITs,아이셀렉트 케이리츠 지수,"NH투자증권이 개발·발표하는 증권사 자체(private) 지수 브랜드 'iSelect'의 국내 상장 리츠 지수로, 경영 건전성·유동성 기준으로 선정한 리츠들을 시가총액가중으로 산출한다. 2019년 11월 PR형, 2020년 2월 배당 재투자를 반영한 TR형이 출시됐다.",아이셀렉트 K리츠; K-REITs 지수; 케이리츠; 국내 리츠 지수; NH 리츠지수,PR/TR 두 버전 존재,high,,https://newsis.com/view/?id=NISX20200130_0000902524
지수정규화|국내지수,KAP CD 6개월,KAP 양도성예금증서(CD) 6개월 금리지수,"채권평가사 한국자산평가(KAP)가 산출하는 CD(양도성예금증서) 금리 기반 지수 중 6개월물 기준 지수로, 금리형(파킹형) ETF의 기초지수로 쓰인다. 데이터의 'KAP CD 6개월 90%'는 동 지수 90% 가중의 혼합 벤치마크 표기로 해석된다.",KAP CD금리지수; CD 6개월 금리; CD금리 지수; 씨디금리,금리 누적 수익률형 지수,high,,https://www.koreaap.com/view/ix/index_pe01_01/KAP_%EC%96%91%EB%8F%84%EC%84%B1%EC%98%88%EA%B8%88%EC%A6%9D%EC%84%9C_CD__%EA%B8%88%EB%A6%AC_%EC%A7%80%EC%88%98_%EB%B0%A9%EB%B2%95%EB%A1%A0_2024.03.pdf
지수정규화|국내지수,종합채권 3개월~1년,국내 종합채권지수 잔존만기 3개월~1년 구간(산출기관 미확정),"국내 채권 전체를 포괄하는 종합채권지수의 잔존만기 3개월~1년 구간 하위지수로, 단기채권형 ETF의 벤치마크 표기다. 국내 종합채권지수는 KAP(한국자산평가)·KIS자산평가·매경-KAP 등이 산출하는데, 이 표기가 어느 기관 지수인지(또는 펀드평가사 KG제로인의 자체 BM 표기인지)는 웹에서 확정하지 못했다.",종합채권지수; 단기 종합채권; 종합채권 1~2년; 종합채권 3M~1Y; KIS종합채권; KAP종합채권,"동일 계열 표기: '종합채권 1~2년'(6건), '종합채권03Y 90%'(1건), '종합채권01Y'(혼합 BM 내)",low,,KAP: https://www.koreaap.com/kor/index_pe01_01.html / KIS: https://www.bond.co.kr/conts/10049 (기관 특정 불가)
지수정규화|국내지수,제로인 대안투자기대수익지수,제로인 대안투자 기대수익 지수,펀드평가사 KG제로인(펀드닥터 운영사)이 대안투자(부동산·인프라 등) 펀드의 성과평가용으로 부여하는 자체 벤치마크 지수로 추정된다. 공개 웹 문서에서 공식 정의·산출방법을 확인하지 못했다.,대안투자 기대수익; 제로인 BM; 대안투자 벤치마크,,low,,KG제로인 펀드평가서비스: https://www.zeroin.co.kr/service/rating.do (지수 자체 정의는 미확인)
지수정규화|국내지수,MSCI ACWI CR 50% + 종합채권01Y 50%,글로벌주식·국내채권 50:50 혼합 벤치마크,"MSCI 전세계 지수(가격 기준, CR)와 국내 종합채권 1년 구간 지수를 각각 50% 가중으로 합성한 자산배분형(주식혼합·채권혼합) ETF의 벤치마크 표기다. 정규화 시 두 구성 지수와 가중치로 분해해 저장해야 한다.",주식채권 혼합 벤치마크; 자산배분 BM; 50대50 혼합,'지수A a% + 지수B b%' 파싱 규칙 적용,medium,,제공 데이터 관측(3건) + MSCI ACWI/종합채권 각 entry 참조
지수정규화|산출기관,S&P Dow Jones Indices,S&P 다우존스 인덱스(S&P DJI),"S&P Global 산하의 세계 최대 지수 산출기관으로 S&P500, S&P MidCap 400, 다우존스 산업평균, Dow Jones Global Select REIT 등을 산출한다.",S&P DJI; 에스앤피 다우존스; 스탠더드앤드푸어스; S&P Global,,high,,https://www.spglobal.com/spdji/
지수정규화|산출기관,MSCI,모건스탠리캐피털인터내셔널(MSCI),글로벌 주식 벤치마크의 표준인 MSCI 지수 시리즈(ACWI·EAFE·EM·국가별·섹터별)를 산출하는 미국 지수·분석 회사다. 국제지수는 NR(세후 순총수익) 기준 공시가 표준이다.,엠에스씨아이; 모건스탠리 지수,,high,,https://www.msci.com/indexes
지수정규화|산출기관,FTSE Russell,FTSE 러셀,런던증권거래소그룹(LSEG) 산하 지수 사업부로 Russell 1000/2000/3000 등 미국 러셀 지수와 FTSE 글로벌 지수를 산출한다.,러셀; FTSE; 풋시 러셀; LSEG 지수,,high,,https://www.lseg.com/en/ftse-russell/
지수정규화|산출기관,Bloomberg Index Services,블룸버그 인덱스 서비스,블룸버그의 지수 산출 자회사로 미국 종합채권(US Aggregate)·지방채(Municipal)·원자재(BCOM) 지수를 산출한다. 채권지수는 리먼→바클레이즈→블룸버그(2016)로 승계된 역사가 있어 옛 명칭 병기가 흔하다.,블룸버그; 블룸버그 바클레이즈; Bloomberg Barclays; 구 리먼 지수,,high,,https://www.bloomberg.com/professional/products/indices/
지수정규화|산출기관,ICE Data Indices / ICE BofA,ICE 데이터 인디시즈(인터컨티넨털거래소),"인터컨티넨털거래소(ICE) 산하 지수 산출기관으로 ICE U.S. Treasury 국채지수 시리즈, 옛 메릴린치 계열의 ICE BofA 채권지수(G0O1 등), NYSE FANG+ 지수를 산출한다. LBMA 금가격을 주관하는 ICE Benchmark Administration(IBA)도 같은 ICE 그룹 소속이다.",ICE; 아이스; ICE BofA; 구 BofA Merrill Lynch; NYSE 지수; IBA,,high,,https://www.ice.com/index-services
지수정규화|산출기관,Cboe,시카고옵션거래소(Cboe Global Markets),세계 최대 옵션거래소로 VIX와 함께 BXM 등 옵션전략(바이라이트) 지수 시리즈를 산출한다.,CBOE; 시보; 시카고옵션거래소,,high,,https://www.cboe.com/us_indices/
지수정규화|산출기관,Nasdaq Global Indexes,나스닥 글로벌 인덱스,"나스닥 거래소의 지수 사업부로 나스닥100, 나스닥 종합지수 등을 산출한다.",나스닥; NASDAQ OMX; 나스닥 지수사업부,,high,,https://www.nasdaq.com/solutions/global-indexes
지수정규화|산출기관,KRX(한국거래소),한국거래소,"국내 유일 증권거래소이자 지수 산출기관으로 KOSPI·KOSPI200·코스닥150·KRX300·KRX 섹터지수 등 1,000개 이상의 지수를 산출한다. 국내 상장 ETF 기초지수의 최대 공급자다.",한국거래소; 거래소; Korea Exchange,,high,,https://open.krx.co.kr/contents/OPN/02/02010100/OPN02010100.jsp
