분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
등급체계:회사채신용등급,BB+,회사채 장기신용등급 BB+,"투기등급의 최상단. 원리금 상환가능성에 불확실성이 내포된 BB등급 중 상대적 우위(+). rank=11, 투기등급.",더블비플러스;투기등급 상단,rank=11; 투기등급; 데이터 표기 'BB+'(4건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,BB,회사채 장기신용등급 BB(플랫),"원리금 상환가능성에 불확실성이 내포되어 있어 투기적 요소를 갖고 있다(한국신용평가 정의). rank=12, 투기등급.",더블비;BB0;BB플랫,rank=12; 투기등급; 데이터에서는 'BB0'으로 표기(10건) → 정규화 시 BB,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,BB-,회사채 장기신용등급 BB-,"BB등급 내 상대적 열위(-). rank=13, 투기등급.",더블비마이너스,rank=13; 투기등급; 데이터 표기 'BB-'(9건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,B+,회사채 장기신용등급 B+,"상환가능성 불확실성이 상당하여 BB보다 투기적 요소가 큰 B등급 중 상대적 우위(+). rank=14, 투기등급.",싱글비플러스,rank=14; 투기등급; 데이터 표기 'B+'(6건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,B,회사채 장기신용등급 B(플랫),"원리금 상환가능성에 대한 불확실성이 상당하여 상위등급(BB)에 비해 투기적 요소가 크다(한국신용평가 정의). rank=15, 투기등급. +/- 부호가 부가되는 마지막 등급(한신평·한기평 기준).",싱글비;B0;B플랫,rank=15; 투기등급; 데이터에서는 'B0'으로 표기(5건) → 정규화 시 B,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,B-,회사채 장기신용등급 B-,"B등급 내 상대적 열위(-). rank=16, 투기등급.",싱글비마이너스,rank=16; 투기등급; 데이터 표기 'B-'(8건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,CCC,회사채 장기신용등급 CCC,"채무불이행의 위험 수준이 높고 원리금 상환가능성이 의문시된다(한국신용평가 정의). rank=17, 투기등급. 한신평·한기평은 CCC에 부호를 붙이지 않으나 NICE신용평가는 CCC까지 +/-를 부가하므로 CCC+/CCC-가 존재할 수 있다.",트리플씨;CCC0,"rank=17; 투기등급; 데이터 표기 'CCC'(1건, 0 접미사 없음)",high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
등급체계:회사채신용등급,CCC+/CCC-,회사채 장기신용등급 CCC 부호등급(NICE 한정),"NICE신용평가는 'AA등급부터 CCC등급까지 +,- 기호를 첨부'하므로 CCC+와 CCC-가 나올 수 있다. 서열은 B-(rank 16)와 CC(rank 18) 사이이며, CCC+ > CCC > CCC- 순으로 정렬한다.",CCC플러스;CCC마이너스,"CCC+=rank 16.7, CCC-=rank 17.3 상당(정수 rank 체계 사용 시 CCC로 뭉쳐 17 처리 가능); 이번 스냅샷 관측값에는 없음",high,검증통과,NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
등급체계:회사채신용등급,CC,회사채 장기신용등급 CC,"채무불이행의 위험 수준이 매우 높고 원리금 상환가능성이 희박하다(한국신용평가 정의). rank=18, 투기등급.",더블씨;CC0,rank=18; 투기등급; 데이터에서는 'CC0'으로 표기(1건) → 정규화 시 CC,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,C,회사채 장기신용등급 C,"채무불이행의 위험 수준이 극히 높고 원리금 상환가능성이 없다(한국신용평가 정의). rank=19, 투기등급. 부호(+/-) 없이 사용된다.",씨등급;C0,rank=19; 투기등급; 데이터에서는 'C0'(137건)과 'C'(1건)로 혼재 → 정규화 시 C,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,D,회사채 장기신용등급 D,"상환불능상태이다(한국신용평가 정의). 즉 이미 채무불이행(부도)이 발생한 상태로, 서열 최하위 rank=20.",디폴트;부도등급;채무불이행,rank=20; 부도등급; 이번 스냅샷 관측값에는 없음,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); 한국기업평가 등급정의(https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240)
등급체계:등급구분,투자등급/투기등급,투자등급(투자적격)과 투기등급의 경계,"BBB-(rank 10) 이상이 투자등급(원리금 상환능력 인정), BB+(rank 11) 이하가 투기등급(투기적 요소 내포)이다. 'AA 이상', '투자등급만' 같은 질의는 rank 숫자 비교(rank<=3, rank<=10)로 변환한다.",투자적격등급;투자부적격;하이일드;정크본드;Investment Grade;Speculative Grade;고위험채권,투자등급: AAA~BBB-(rank 1~10); 투기등급: BB+~C(rank 11~19); D(20)는 부도,high,검증통과,한국신용평가(https://kisrating.com/business/companystock.do); NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
값사전:CRD_GRD 표기,AA0,AA 플랫 표기,"CRD_GRD 원본 표기. 끝의 '0'은 +도 -도 아닌 무부호(플랫) 등급을 뜻하며 신용평가사 공식 표기로는 'AA'다. 관측 1,713건.",AA;AA플랫,정규화: AA0 → AA (rank=3),high,검증통과,신용평가 3사 공식 표기(AA)와 데이터 표기 대조; 한국신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
값사전:CRD_GRD 표기,A0,A 플랫 표기,CRD_GRD 원본 표기로 무부호 A등급. 관측 904건.,A;A플랫,정규화: A0 → A (rank=6),high,검증통과,신용평가 3사 공식 표기(A)와 데이터 표기 대조
값사전:CRD_GRD 표기,BBB0,BBB 플랫 표기,CRD_GRD 원본 표기로 무부호 BBB등급. 관측 116건.,BBB;BBB플랫,정규화: BBB0 → BBB (rank=9),high,검증통과,신용평가 3사 공식 표기(BBB)와 데이터 표기 대조
값사전:CRD_GRD 표기,BB0,BB 플랫 표기,CRD_GRD 원본 표기로 무부호 BB등급. 관측 10건.,BB;BB플랫,정규화: BB0 → BB (rank=12),high,검증통과,신용평가 3사 공식 표기(BB)와 데이터 표기 대조
값사전:CRD_GRD 표기,B0,B 플랫 표기,CRD_GRD 원본 표기로 무부호 B등급. 관측 5건.,B;B플랫,정규화: B0 → B (rank=15),high,검증통과,신용평가 3사 공식 표기(B)와 데이터 표기 대조
값사전:CRD_GRD 표기,CC0,CC 플랫 표기,CRD_GRD 원본 표기로 무부호 CC등급. 관측 1건.,CC,정규화: CC0 → CC (rank=18),high,검증통과,신용평가 3사 공식 표기(CC)와 데이터 표기 대조
값사전:CRD_GRD 표기,C0,C 플랫 표기,"CRD_GRD 원본 표기로 무부호 C등급. 관측 137건으로 하위등급 중 이례적으로 많아, 실제 C등급 채권인지 별도 의미의 코드인지 표본 확인이 필요하다.",C,정규화: C0 → C (rank=19),medium,검증통과,신용평가사 공식 표기(C)와 데이터 표기 대조(건수 이례성은 미확인)
값사전:정규화규칙,CRD_GRD 정규화,신용등급 표기 정규화 규칙,"정규화 규칙(끝자리 '0' 제거, AA0→AA)과 rank 매핑(AAA=1~D=20) 자체는 타당하다. 다만 질의 변환 기본값을 통일해야 한다: 'AA 이상'(문자 그대로) = rank<=3(AAA, AA+, AA), 'AA- 이상'/'AA급(AA등급대) 이상' = rank<=4. 모호한 질의에는 사용자 확인 또는 두 해석 병기를 권장하며, '투자등급/투기등급' entry의 rank<=3 규칙과 일치하도록 수정할 것.",등급 정규화;노치 표기;플랫 표기;무부호,"정규식: ^(AAA|AA|A|BBB|BB|B|CCC|CC|C|D)0$ → 그룹1 채택; 'AA 이상' = rank<=4(AA- 포함 여부는 질의 해석에 따라 rank<=3 또는 rank<=4); 'AA등급대' = AA+,AA0,AA- (rank 2~4)",medium,정정반영,데이터 관측값과 신용평가 3사 공식 등급기호 대조(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf) | 검증정정: 내부 정합성 검증(동일 JSON 내 '투자등급/투기등급' entry의 rank<=3 규칙과 상충); 신용평가 3사 등급 표기 관행(AA등급대 = AA+/AA/AA-)
컬럼사전:국내채권,CRD_GRD,신용등급,"해당 채권의 대표 신용등급(장기, 회사채 기준 AAA~D 체계). 무부호(플랫) 등급은 '0' 접미사로 표기된다(AA0=AA). 복수 평가등급 중 어떤 값(최저등급/최신등급)을 대표로 채택했는지는 미확인.",신용등급;크레딧등급;채권등급;credit grade;rating,"문자열; 관측값: AAA, AA+, AA0, AA-, A+, A0, A-, BBB+, BBB0, BBB-, BB+, BB0, BB-, B+, B0, B-, CCC, CC0, C0, C; 정규화 후 rank 1~20 매핑",medium,검증통과,데이터 관측값 기반 해석 + 신용평가 3사 등급체계(공식 컬럼 정의서 미확인)
컬럼사전:국내채권,PD_EVCO_CRD_GRD,평가회사별 신용등급(병기),"신용평가회사(EVCO=평가회사 추정)별로 부여한 신용등급을 콤마로 병기한 컬럼('AA+, AA, AA+' = 3개사 평가). 국내 무보증사채는 원칙적으로 2개 이상 신평사 평가가 의무라 2~3개 값이 병기되며, 값이 서로 다르면 스플릿 등급이다.",평가사별 등급;복수평가 등급;병기 등급;split rating,콤마 구분 문자열; 각 토큰을 CRD_GRD와 동일 규칙으로 정규화; 보수적 처리 시 min(rank가 가장 낮은 등급=숫자 최대) 채택,medium,검증통과,"금융투자협회 증권 인수업무 등에 관한 규정(복수평가 의무, https://law.kofia.or.kr) + 데이터 관측값 기반 해석(컬럼 정의서 미확인)"
등급체계:복수평가제도,복수평가 의무,무보증사채 복수 신용평가 의무,금융투자협회 「증권 인수업무 등에 관한 규정」상 금융투자회사가 무보증사채를 인수하려면 2개 이상의 신용평가회사로부터 평가를 받은 것이어야 한다(신평사 업무정지 등 부득이한 사유 시 1개 이상 허용). 이 때문에 국내 회사채는 통상 2~3개 등급이 병기된다.,복수평가;듀얼레이팅;2개사 평가;의무평가,"원칙 2개사 이상, 예외 1개사(유동화증권·업무정지 등)",high,검증통과,금융투자협회 증권 인수업무 등에 관한 규정(https://law.kofia.or.kr)
등급체계:스플릿등급,스플릿 등급,스플릿 등급(평가사 간 등급 불일치),"복수 신평사의 등급이 서로 다른 경우를 말하며, 통상 1노치 이내에서 발생한다('AA+, AA, AA+'). 실무에서는 보수적으로 낮은 등급을 대표등급으로 채택하는 관행이 일반적이며, 은행 자본규제(바젤 표준방법)도 2개 등급이면 낮은 등급, 3개 이상이면 상위 2개 중 낮은 등급을 적용한다.",등급 불일치;split rating;등급 스플릿;평가사 상이,보수적 처리: 대표등급 = 병기 등급 중 최저(rank 최대); QA 필터에서는 'AA 이상' 판정 시 최저등급 기준 권장,medium,검증통과,시장 관행 및 바젤 신용리스크 표준방법 일반 원칙(개별 규정 원문은 이번 검색에서 직접 확인 못함)
등급체계:신용평가사,한국신용평가,한국신용평가(KIS),"1985년 설립된 국내 3대 신용평가사 중 하나로, 2016년 무디스(Moody's)가 지분을 전량 인수한 무디스 계열사다. 회사채 AAA~D, CP A1~D 등급체계를 운용한다.",한신평;KIS;kisrating;무디스 계열,"약칭 한신평, 영문 KIS(Korea Investors Service)",high,검증통과,kisrating.com; 무디스 2016년 전량 인수(https://namu.wiki/w/한국신용평가 및 언론보도)
등급체계:신용평가사,한국기업평가,한국기업평가(Korea Ratings),"국내 3대 신용평가사 중 하나로, 글로벌 신평사 피치(Fitch)가 최대주주(지분 약 73%)인 피치 계열사다. 회사채 AAA~D, CP A1~D 등급체계를 운용한다.",한기평;KR;korearatings;피치 계열,"약칭 한기평, 영문 KR(Korea Ratings), KOSDAQ 상장사",medium,검증통과,korearatings.com(등급정의: https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240); 피치 지분율은 공시·언론 기반(이번 검색에서 직접 원문 미확인)
등급체계:신용평가사,NICE신용평가,NICE신용평가,"국내 3대 신용평가사 중 하나로 NICE홀딩스 계열이다. 회사채 AAA~D 체계를 쓰되, +/- 부호를 AA부터 CCC까지 부가한다는 점이 타사(AA~B)와 다르다.",나신평;NICE;nicerating;나이스신용평가,"약칭 나신평, 영문 NICE Investors Service",high,검증통과,NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do); NICE홀딩스(https://nice.co.kr)
등급체계:신용평가사,서울신용평가,서울신용평가(SCI),"서울신용평가(주)는 CP·전자단기사채·ABS 등만 인가받은 제4의 신용평가사로 회사채 본평가 인가는 없다(2025년 기준 '제4 회사채 인가' 확보를 추진 중). 따라서 회사채 데이터에 등장할 가능성이 낮고, 회사채 본평가 시장은 3사(한신평·한기평·나신평)가 사실상 전부를 점유한다. 동의어는 '서울신평'만 유지하고 'SCI평가정보'(현 서울평가정보)는 별개의 신용정보회사이므로 제거해야 한다.",SCI평가정보;서울신평,제한적 인가(단기·유동화 중심),medium,정정반영,"신용평가회사 개요(https://namu.wiki/w/신용평가회사; 공식 인가 범위는 금융위 인가 현황 원문 미확인) | 검증정정: 이투데이(https://www.etoday.co.kr/news/view/2531286, 서울신용평가 회사채 인가 미보유·제4 인가 추진); 서울신용평가(http://www.scri.co.kr); SCI/서울평가정보 회사연혁(https://www.sci.co.kr, 2016.1 신용평가부문 분할·2025.3 사명변경)"
등급체계:등급체계동일성,3사 등급체계 동일성,신용평가 3사 등급 기호 체계 동일성,"한신평·한기평·나신평 모두 회사채(장기)는 AAA~D 10개 기본등급 + 부호 세분화, CP(단기)는 A1~D 6개 등급 체계로 기호와 서열이 동일해 SQL 서열표 하나로 처리 가능하다. 정의 문구는 사별로 조금 다르고, 부호 부가 범위만 차이(한신평·한기평 AA~B, 나신평 AA~CCC).",등급 호환;등급 매핑;평가사별 차이,장기: AAA~D(20~22노치); 단기: A1~D(A2~B에 부호 부가),high,검증통과,한국신용평가(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); 한국기업평가(https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240); NICE신용평가(https://www.nicerating.com/disclosure/longTermGrade.do)
등급체계:CP단기등급,A1,기업어음(CP)·단기사채 등급 A1,적기상환가능성이 최상급이다(한국신용평가 정의). 단기(만기 1년 미만) 등급의 최상위이며 부호를 붙이지 않는다. 장기등급 A(rank 6)와 전혀 다른 개념이므로 혼동 주의.,에이원;CP 최상위등급,단기 rank=1; 장기등급 대응 개략: AA- 이상,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:CP단기등급,A2,기업어음(CP)·단기사채 등급 A2,"적기상환가능성이 우수하지만 상위등급(A1)에 비해 다소 열위한 면이 있다(한국신용평가 정의). A2부터 B까지는 +/- 부호로 세분화한다(A2+, A2, A2-).",에이투;A2+;A2-,단기 rank=2(A2+~A2- 세분); 장기등급 대응 개략: A급,high,검증통과,한국신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); 한국기업평가 등급정의(https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240)
등급체계:CP단기등급,A3,기업어음(CP)·단기사채 등급 A3,적기상환가능성은 일정수준 인정되지만 단기적인 환경변화에 따라 영향을 받을 가능성이 있다(한국신용평가 정의). A3-까지가 단기 투자등급으로 통용된다.,에이쓰리;A3+;A3-,단기 rank=3(A3+~A3- 세분); 장기등급 대응 개략: BBB급,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:CP단기등급,B(단기),기업어음(CP)·단기사채 등급 B,적기상환가능성에 불확실성이 내포되어 있어 투기적인 요소가 크다(한국신용평가 정의). B+~B-로 세분되며 단기 투기등급이다.,CP B등급,단기 rank=4(B+~B- 세분); 투기등급,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:CP단기등급,C(단기),기업어음(CP)·단기사채 등급 C,적기상환가능성이 의문시되고 채무불이행의 위험이 매우 높다(한국신용평가 정의). 부호 없이 사용된다.,CP C등급,단기 rank=5; 투기등급,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:CP단기등급,D(단기),기업어음(CP)·단기사채 등급 D,상환불능상태이다(한국신용평가 정의). 단기등급 체계의 최하위.,CP 부도등급,단기 rank=6; 부도등급,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
