분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
값사전|국내채권|STD_PD_SCLS_NM,국고채,국고채,국채법에 따라 정부(기획재정부)가 공공자금관리기금의 부담으로 발행하는 대한민국 대표 국채. 2·3·5·10·20·30·50년물 등으로 경쟁입찰 발행되며 국내 채권시장의 지표금리 역할을 한다.,국고채권;KTB;국채;국고채 3년물;국고채 10년물,,high,,"https://ktb.moef.go.kr/ntpbnd.do (기획재정부 국채시장, 국고채권)"
값사전|국내채권|STD_PD_SCLS_NM,물가채,물가연동국고채,"원금과 이자가 소비자물가지수(CPI)에 연동되어 조정되는 국고채로, 인플레이션 위험을 헤지할 수 있는 국채. 물가 상승 시 원금이 늘어나 이자와 상환액이 함께 증가한다.",물가연동국고채;물가연동채;KTBi;물가연동국채;인플레이션 연동 국채,,high,,"https://ktb.moef.go.kr/ntndbtKnd.do (기획재정부 국채시장, 국채종류)"
값사전|국내채권|STD_PD_SCLS_NM,국민주택,국민주택채권,"주택도시기금법에 따라 주택도시기금 재원 조달을 위해 정부가 발행하는 국채로, 부동산 등기·인허가 시 의무매입되는 대표적 첨가소화채. 현재는 제1종만 신규 발행된다.",국민주택채권;제1종 국민주택채권;첨가소화채;주택채권,,high,,https://www.kebhana.com/cont/houd/houd03/houd0301/index.jsp (주택도시기금 수탁은행 안내)
값사전|국내채권|STD_PD_SCLS_NM,기타국채,기타국채,"국고채·국민주택채권 외의 국채를 묶는 소분류로, 재정증권·외국환평형기금채권·보상채권(용지보상 국채) 등이 해당한다.",재정증권;외평채;보상채권;기타 국채,,medium,,"https://ktb.moef.go.kr/ntndbtKnd.do (기획재정부 국채시장, 국채종류)"
값사전|국내채권|STD_PD_SCLS_NM,중앙은행채,중앙은행채(통화안정증권),"중앙은행인 한국은행이 발행하는 채권 소분류로, 실체는 통화안정증권이다. 시중 유동성 조절(공개시장운영)을 위해 발행된다.",통안채;통안증권;통화안정증권;한국은행 채권;한은 통안채,,high,,https://www.law.go.kr/법령/한국은행 통화안정증권법 (국가법령정보센터)
값사전|국내채권|STD_PD_SCLS_NM,공모지방채,공모지방채,지방자치단체가 불특정 다수 투자자를 대상으로 공모(모집) 방식으로 발행하는 지방채. 의무매입 방식의 첨가소화채(지역개발·도시철도채권)와 달리 시장에서 자발적 청약으로 소화된다.,모집지방채;공모 지방채;지자체 공모채;서울시채,,medium,,https://main.krxverse.co.kr/_contents/ACA/02/02010201/03.pdf (KRX 채권시장 해설)
값사전|국내채권|STD_PD_SCLS_NM,지역개발,지역개발채권,"지방자치단체가 지역개발기금 재원 조달을 위해 발행하는 지방채로, 자동차 등록이나 지자체 인허가·계약 시 의무매입되는 첨가소화채다. 통상 5년 만기 일시상환 방식이다.",지역개발채권;첨가소화채;자동차 채권;도시개발채권;의무매입채권,,high,,"https://www.hankyung.com/article/2023122628721 (한국경제, 지역개발채권 의무매입); https://www.fnnews.com/news/201702071717126162 (파이낸셜뉴스, 첨가소화채권)"
값사전|국내채권|STD_PD_SCLS_NM,도시철도,도시철도채권,도시철도법에 근거해 서울시 등 지자체가 지하철(도시철도) 건설·운영 재원 조달을 위해 발행하는 지방채. 해당 지역 자동차 등록·인허가 시 의무매입되는 첨가소화채다.,도시철도채권;지하철채권;서울도시철도채권;첨가소화채,,high,,"https://www.fnnews.com/news/201702071717126162 (파이낸셜뉴스, 첨가소화채권)"
값사전|국내채권|STD_PD_SCLS_NM,개인투자용국채5년물,개인투자용국채 5년물,"만기 5년의 개인투자용국채로, 장기물 수요 저조에 대응해 2025년 3월부터 발행이 시작되었다. 만기 보유 시 표면금리+가산금리를 복리로 수취하고 이자소득 분리과세 혜택이 있다.",개인국채 5년;개인투자용 국채 5년물,,high,,"https://www.nabo.go.kr/board/file/down.do?fid=33319091 (국회예산정책처, 개인투자용 국채 발행 현황)"
값사전|국내채권|STD_PD_SCLS_NM,개인투자용국채10년물,개인투자용국채 10년물,만기 10년의 개인투자용국채로 2024년 6월 최초 발행분부터 존재한다. 만기 보유 시 표면금리+가산금리 복리 이자와 분리과세 혜택을 받으며 중도환매 시 혜택이 소멸한다.,개인국채 10년;개인투자용 국채 10년물,,high,,https://ktb.moef.go.kr/personalInvGovBonds.do (기획재정부 국채시장)
값사전|국내채권|STD_PD_SCLS_NM,개인투자용국채20년물,개인투자용국채 20년물,만기 20년의 개인투자용국채로 2024년 6월 최초 발행분부터 존재한다. 초장기 저축성 국채로 만기 보유 시 가산금리와 분리과세 혜택이 가장 크게 설계되어 있다.,개인국채 20년;개인투자용 국채 20년물,,high,,https://ktb.moef.go.kr/personalInvGovBonds.do (기획재정부 국채시장)
값사전|국내채권|BD_KND,일반회사채,일반회사채,"상법상 주식회사가 자기 신용으로 발행하는 보통의 회사채(13,998건)로 특수한 옵션이나 유동화 구조가 없다. 신용등급(AAA~D)에 따라 금리가 차등되는 대표적 크레딧물이다.",일반사채;회사채;기업채;무보증 회사채,,high,,https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육)
값사전|국내채권|BD_KND,할부금융채,할부금융채,"여신전문금융업법상 할부금융업을 영위하는 캐피탈사가 자금조달을 위해 발행하는 채권(4,677건). 수신 기능이 없는 여신전문금융회사의 핵심 조달수단으로, 여전채의 대표 유형이다.",여전채;캐피탈채;할부채;여신전문금융회사채;여신전문금융채권,,high,,"https://kbthink.com/dictionary/view.html?dictId=KED-00008500 (KB 금융용어사전, 여전채); https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채)"
값사전|국내채권|BD_KND,신용카드채,신용카드채,"신용카드사가 카드론·결제대금 등 영업자금 조달을 위해 발행하는 여신전문금융회사채(2,520건). 여전채의 한 유형으로 동일 등급 일반 회사채보다 금리가 다소 높게 형성되는 경향이 있다.",카드채;여전채;카드사 채권;신용카드회사채,,high,,"https://kbthink.com/dictionary/view.html?dictId=KED-00008500 (KB 금융용어사전, 여전채)"
값사전|국내채권|BD_KND,시설대여채(리스),시설대여채(리스채),"여신전문금융업법상 시설대여업(리스업)을 영위하는 리스사가 발행하는 채권(1,039건). 카드채·할부금융채와 함께 여전채로 통칭된다.",리스채;여전채;시설대여채권;리스회사채;캐피탈채,,high,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채)"
값사전|국내채권|BD_KND,유동화회사채,유동화회사채,"자산유동화에 관한 법률에 따라 설립된 유동화전문회사(SPC)가 매출채권·대출채권 등 유동화자산을 기초로 발행하는 사채 형태의 자산유동화증권(ABS)(2,798건). 기초자산의 현금흐름으로 원리금이 상환된다.",ABS;자산유동화증권;자산유동화사채;유동화증권;SPC 사채,,high,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=2124 (기재부 시사경제용어사전, ABS)"
값사전|국내채권|BD_KND,Conduit회사채,콘듀잇 회사채,"자산유동화법에 따른 등록유동화가 아닌, 상법상 SPC(도관체·콘듀잇)를 통해 반복적으로 발행되는 회사채 형태의 비등록 유동화증권(2,792건). ABCP 콘듀잇처럼 기초자산의 현금흐름을 투자자에게 전달하는 도관 구조로 발행된다.",콘듀잇채;콘딧회사채;비등록 유동화 사채;도관체 회사채;SPC 회사채,,medium,,"https://dic.hankyung.com/economy/view/?seq=7230 (한경 경제용어사전, 콘듀잇); https://fsc.go.kr/no010101/77985 (금융위, 자산유동화법 규율 정비)"
값사전|국내채권|BD_KND,일반특수법인채,일반특수법인채,"한국전력공사·한국가스공사·한국도로공사 등 특별법으로 설립된 법인(비금융 공공기관)이 발행하는 특수채(3,019건). 시장에서 한전채로 대표되는 공사채·공공기관채가 여기에 해당한다.",한전채;공사채;공공기관채;특수법인채;가스공사채;도로공사채,,medium,,https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육)
값사전|국내채권|BD_KND,특수은행채,특수은행채,"한국산업은행·중소기업은행·한국수출입은행·농협·수협 등 특별법으로 설립된 특수은행이 발행하는 금융채(2,398건). 산업금융채권(산금채)·중소기업금융채권(중금채)이 대표적이며 국책은행의 신용으로 신용도가 매우 높다.",산금채;산업금융채권;중금채;중소기업금융채권;수출입은행채;국책은행채;농협채,,high,,"https://kbthink.com/dictionary/view.html?dictId=KED-00001146 (KB 금융용어사전, 산업금융채권)"
값사전|국내채권|BD_KND,MBS,주택저당증권,"한국주택금융공사가 은행 등에서 양수한 주택담보대출채권(주택저당채권)을 기초로 발행하는 유동화증권(2,159건). 주금공 MBS는 공사의 지급보증으로 신용도가 높고 보금자리론 등 정책모기지 재원이 된다.",주금공 MBS;주택저당증권;주택금융공사 MBS;모기지채권;주택저당채권담보부증권;HF MBS,,high,,"https://researcher.hf.go.kr/researcher/sub02/sub02_08.do?mode=download&articleNo=591847&attachNo=90535 (한국주택금융공사, MBS 발행구조)"
값사전|국내채권|BD_KND,지역개발채,지역개발채권,"지방자치단체가 지역개발기금 조성을 위해 발행하는 지방채(1,266건)로, 자동차 등록이나 지자체 인허가·공사계약 시 의무적으로 매입해야 하는 첨가소화채다. 통상 5년 만기이며 표면금리가 시중금리보다 낮아 매입 즉시 할인 매도하는 경우가 많다.",지역개발채권;첨가소화채;자동차 등록 채권;의무매입채권;도시개발채권,,high,,https://www.hankyung.com/article/2023122628721 (한국경제); https://www.kcie.or.kr/mobile/guide/2/12/web_view?content_idx=957 (전국투자자교육협의회)
값사전|국내채권|BD_KND,일반은행채,일반은행채,"시중은행·지방은행 등 은행법에 따른 일반은행이 발행하는 금융채(1,253건). 예금 외의 자금조달 수단으로 대출재원 마련을 위해 발행된다.",은행채;시중은행채;금융채;은행 발행 채권,,high,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채)"
값사전|국내채권|BD_KND,금융지주회사채,금융지주회사채,금융지주회사법에 따른 금융지주회사(KB금융지주·신한금융지주 등)가 발행하는 회사채(429건). 자회사 출자·운영자금 조달 목적이며 은행채와 함께 은행계 크레딧물로 분류된다.,지주채;금융지주채;지주회사채;은행지주채,,medium,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채) 기반 분류"
값사전|국내채권|BD_KND,일반지방공사채,일반지방공사채,지방공기업법에 따라 지자체가 설립한 지방공사(서울주택도시공사·경기주택도시공사 등)가 발행하는 채권(423건). 지자체의 신용이 뒷받침되는 공공 부문 채권이다.,지방공사채;SH공사채;GH채;도시공사채;지방공기업채,,medium,,지방공기업법(국가법령정보센터) 기반 분류; 데이터 스냅샷 관측
값사전|국내채권|BD_KND,지방공사보상채권,지방공사보상채권,지방공사(SH공사 등)가 공익사업의 토지 수용 시 토지보상법에 따라 현금 대신 토지소유자에게 지급(교부)하는 보상채권(417건). 만기 전 양도·담보 제공이 가능해 유통시장에서 거래된다.,토지보상채권;SH 보상채권;용지보상채권;보상채권,,medium,,https://www.law.go.kr/lsLawLinkInfo.do?lsJoLnkSeq=1000384237&chrClsCd=010202 (공익사업을 위한 토지 등의 취득 및 보상에 관한 법률)
값사전|국내채권|BD_KND,투자매매.중개채,투자매매·중개업자채(증권사채),자본시장법상 투자매매업·투자중개업 인가를 받은 증권회사가 발행하는 채권(365건). 증권사의 운영자금·발행어음 외 조달수단으로 발행되는 금융회사채다.,증권사채;증권회사채;증권사 발행 채권;투자매매업자 채권,,medium,,"https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?popMenu=ov&csmSeq=572&ccfNo=2&cciNo=2&cnpClsNo=1 (찾기쉬운 생활법령, 자본시장법상 투자매매·중개업 정의)"
값사전|국내채권|BD_KND,국고채권,국고채권,국채법에 따라 기획재정부가 공공자금관리기금 부담으로 발행하는 대한민국 대표 국채(298건). 지표금리 역할을 하며 국채전문딜러(PD) 경쟁입찰로 발행된다.,국고채;KTB;국채;국고채 3년;국고채 10년,,high,,https://ktb.moef.go.kr/ntpbnd.do (기획재정부 국채시장)
값사전|국내채권|BD_KND,도시철도공채,도시철도공채(도시철도채권),"도시철도법에 근거해 서울시 등이 지하철 건설·운영 재원 조달을 위해 발행하는 지방채(240건)로, 해당 지역 자동차 등록 등 시 의무매입되는 첨가소화채다. 서울 도시철도채권은 통상 7년(과거 9년) 만기 일시상환이다.",도시철도채권;지하철채권;서울도시철도채권;첨가소화채,,high,,"https://www.fnnews.com/news/201702071717126162 (파이낸셜뉴스, 첨가소화채권)"
값사전|국내채권|BD_KND,특수보상채권,특수보상채권,"특별법상 법인(한국토지주택공사 등 공공기관)이 공익사업 토지 수용 시 현금 대신 지급하는 보상채권(177건)으로, LH 토지보상채권이 대표적이다. 토지보상법에 따라 발행되며 양도·담보 제공이 가능하다.",토지보상채권;LH 보상채권;용지보상채권;보상채권,,medium,,https://www.law.go.kr/lsLawLinkInfo.do?lsJoLnkSeq=1000384237&chrClsCd=010202 (토지보상법)
값사전|국내채권|BD_KND,기업인수목적회사채,기업인수목적회사채(SPAC사채),"비상장기업 인수합병을 유일한 목적으로 설립된 기업인수목적회사(SPAC)가 발행하는 사채(174건)로, 통상 상장 전 발기인 대상 전환사채 형태다. 합병 성공 시 주식 전환, 실패 시 원리금 상환 구조를 가진다.",스팩사채;SPAC 전환사채;스팩 CB;기업인수목적회사 사채,,medium,,"자본시장과 금융투자업에 관한 법률 시행령(기업인수목적회사 정의, 국가법령정보센터) 기반 분류"
값사전|국내채권|BD_KND,보험회사채,보험회사채,"보험업법에 따른 보험회사가 발행하는 채권(173건)으로, 지급여력비율(K-ICS) 제고를 위한 후순위채·신종자본증권 형태가 많다. 금융회사채(크레딧물)의 한 유형이다.",보험사채;보험사 후순위채;보험사 신종자본증권;보험사 자본성증권,,medium,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채) 기반 분류"
값사전|국내채권|BD_KND,모집지방채,모집지방채,지방자치단체가 불특정 다수 투자자로부터 청약을 받아 모집(공모) 방식으로 발행하는 지방채(125건). 의무매입 방식의 매출채(첨가소화채)와 대비되는 발행방식이다.,공모지방채;모집 지방채;지자체 공모채,,medium,,https://main.krxverse.co.kr/_contents/ACA/02/02010201/03.pdf (KRX 채권시장 해설)
값사전|국내채권|BD_KND,기타금융회사채,기타금융회사채,은행·카드·캐피탈·증권·보험 등 주요 업권으로 별도 분류되지 않는 금융회사가 발행하는 채권(120건). 신용정보회사·대부업 지주 등 기타 금융업권 발행분이 포함되는 것으로 추정된다.,기타 금융채;기타 금융회사 채권,,low,,데이터 스냅샷 관측 기반 추정 (공식 분류기준 미확인)
값사전|국내채권|BD_KND,통화안정채권,통화안정증권,한국은행이 한국은행 통화안정증권법에 따라 시중 유동성 조절(공개시장운영)을 위해 발행하는 채권(101건). 기관·일반 투자자 대상 경쟁입찰·모집으로 발행되며 단기물 중심의 무위험 채권으로 취급된다.,통안채;통안증권;통화안정증권;한은 통안채;MSB,,high,,https://www.law.go.kr/법령/한국은행 통화안정증권법; https://www.bok.or.kr/portal/main/contents.do?menuNo=200362 (한국은행 증권업무)
값사전|국내채권|BD_KND,국민주택1종,제1종 국민주택채권,"주택도시기금법에 따라 부동산 소유권 이전등기 등 각종 등기·인허가, 국가·지자체와의 공사 도급계약 시 의무매입하는 국채(74건). 만기 5년 일시상환 첨가소화채로 주택도시기금의 재원이 된다.",국민주택채권;1종 주택채권;첨가소화채;등기 채권,,high,,"https://www.kebhana.com/cont/houd/houd03/houd0302/houd030201/index.jsp (주택도시기금 수탁은행, 1종 국민주택채권)"
값사전|국내채권|BD_KND,국민주택2종,제2종 국민주택채권,"과거 분양가상한제 아파트 청약(채권입찰제) 시 의무매입하던 만기 20년(구 10년) 국채(73건)로, 2013~2015년 이후 신규 발행이 중단되었다. 데이터의 73건은 만기가 남은 기발행 잔존물량이다.",2종 주택채권;국민주택채권 2종;채권입찰제 채권,,high,,https://namu.wiki/w/국민주택채권 (발행중단 연혁); https://www.kebhana.com/cont/houd/houd03/houd0301/index.jsp (주택도시기금 안내)
값사전|국내채권|BD_KND,부동산투자회사채,부동산투자회사채(리츠사채),부동산투자회사법에 따른 부동산투자회사(REITs)가 부동산 취득·운영자금 조달을 위해 발행하는 사채(57건).,리츠채;REITs 사채;리츠 회사채;부동산투자회사 사채,,medium,,부동산투자회사법(국가법령정보센터) 기반 분류; 데이터 스냅샷 관측
값사전|국내채권|BD_KND,기타금융투자전업회사채,기타금융투자전업회사채,자본시장법상 금융투자업자 중 투자매매·중개업자(증권사)로 분류되지 않는 전업사(신탁업·투자자문업 전업사 등)가 발행하는 채권(53건)으로 추정된다. 정확한 포함 업권은 분류기준 확인이 필요하다.,금융투자회사채;기타 금융투자업자 채권,,low,,자본시장법상 금융투자업 구분(찾기쉬운 생활법령) 기반 추정
값사전|국내채권|BD_KND,개인투자용국채,개인투자용국채,"2024년 6월 최초 발행된 개인 전용 저축성 국채(49건)로 5·10·20년물이 있으며 전용계좌로 개인만 매입할 수 있다. 만기 보유 시 표면금리+가산금리 복리 이자와 이자소득 분리과세(14%) 혜택을 받고, 유통시장 매매는 불가하며 중도환매 시 혜택이 없다.",개인국채;개인투자용 국채;저축성 국채,,high,,https://ktb.moef.go.kr/personalInvGovBonds.do (기획재정부); https://www.korea.kr/news/policyNewsView.do?newsId=148957316 (정책브리핑)
값사전|국내채권|BD_KND,장기산업채권(특수금융),장기산업채권(특수금융채),"특수금융채로 분류되는 장기 산업자금 조달용 채권(39건)으로, 등록발행 통계에서 별도 채권종류로 관리된다. 정확한 발행주체(산업은행 계열 여부 등)는 공식 문서로 확인하지 못했다.",장기산업채;특수금융채,,low,,"http://www.s-d.kr/news/articleView.html?idxno=25217 (증권일보, 등록발행 채권종류 통계에 장기산업채권(특수) 존재 확인)"
값사전|국내채권|BD_KND,집합투자회사채,집합투자회사채,자본시장법상 집합투자업자(자산운용사) 또는 집합투자기구 관련 회사가 발행하는 채권(38건)으로 추정된다. 금융투자업권 회사채의 한 유형이다.,자산운용사채;운용사 채권;집합투자업자 채권,,low,,자본시장법상 금융투자업 구분(찾기쉬운 생활법령) 기반 추정
값사전|국내채권|BD_KND,SLBS,학자금대출증권,"한국장학재단의 학자금대출채권을 기초자산으로 발행되는 유동화증권(Student Loan-Backed Securities, 34건). 전자증권법상 의무 전자등록 대상 증권의 하나로 명시된 채권 유형이다.",학자금대출증권;학자금대출 유동화증권;장학재단 유동화채;학자금 ABS,,medium,,"https://www.koit.co.kr/news/articleView.html?idxno=76806 (전자증권 전환 대상에 SLBS 명시); https://www.kcmi.re.kr/kcmifile/oldreportdata/0000222_2.pdf (자본시장연구원, 학자금대출 유동화)"
값사전|국내채권|BD_KND,재정증권,재정증권,국고금관리법에 따라 기획재정부가 국고금 출납상 일시 부족자금 조달을 위해 일반회계·특별회계 부담으로 공개시장에서 발행하는 초단기 국채(27건). 통상 63일물로 발행되어 회계연도 내 상환된다.,재정증권 63일물;단기 국채;국고 일시차입 증권,,high,,"https://www.korea.kr/briefing/actuallyView.do?newsId=148902055 (정책브리핑, 재정증권·일시차입); 국고금관리법(국가법령정보센터)"
값사전|국내채권|BD_KND,증권금융채(특수금융),증권금융채,자본시장법상 증권금융회사인 한국증권금융이 증권 담보금융·투자자예탁금 운용 등 업무 재원 조달을 위해 발행하는 특수금융채(26건).,한국증권금융채;증금채;증권금융채권,,medium,,자본시장법상 증권금융회사 규정 기반 분류; 데이터 스냅샷 관측
값사전|국내채권|BD_KND,외국환평형기금,외국환평형기금채권,환율 급변동에 대응해 원화의 대외가치 안정을 위한 외국환평형기금 재원 조달용으로 정부가 발행·보증하는 국채(14건). 원화표시와 외화표시 두 종류가 있으며 원화 외평채는 2003년 이후 국고채로 통합 발행되어 현재는 잔존·외화물 중심이다.,외평채;외국환평형기금채권;외평기금채,,high,,https://ko.wikipedia.org/wiki/외국환평형기금채권; https://ktb.moef.go.kr/ntndbtKnd.do (기획재정부 국채종류)
값사전|국내채권|BD_KND,중기창투회사채,중소기업창업투자회사채,벤처투자법(구 중소기업창업지원법)상 중소기업창업투자회사(벤처캐피탈)가 발행하는 채권(10건).,창투사채;벤처캐피탈채;VC 채권;창업투자회사 사채,,medium,,벤처투자 촉진에 관한 법률(국가법령정보센터) 기반 분류; 데이터 스냅샷 관측
값사전|국내채권|BD_KND,종합금융채,종합금융채,자본시장법상 종합금융회사(종금사)가 발행하는 금융채(9건). 종금업 라이선스를 보유한 회사의 자금조달 수단이다.,종금채;종금사채;종합금융회사채,,medium,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기재부 시사경제용어사전, 금융채 — 종합금융채 언급)"
값사전|국내채권|BD_KND,상호저축은행채,상호저축은행채,상호저축은행법에 따른 저축은행이 발행하는 금융채(3건). 발행 규모가 매우 작은 업권이다.,저축은행채;저축은행 채권,,medium,,상호저축은행법(국가법령정보센터) 기반 분류; 데이터 스냅샷 관측
값사전|국내채권|BD_KND,신기술금융채,신기술사업금융채,여신전문금융업법상 신기술사업금융회사(신기술 벤처 투자·융자 전문)가 발행하는 채권(2건). 여전채 계열의 소수 업권 채권이다.,신기술사업금융회사채;신기술금융회사채;여전채,,medium,,"여신전문금융업법(국가법령정보센터, 신기술사업금융업) 기반 분류"
값사전|국내채권|BD_KND,투자일임회사채,투자일임회사채,자본시장법상 투자일임업자가 발행하는 채권(1건). 금융투자업권 회사채 중 극소수 유형이다.,투자일임업자 채권;일임사 채권,,low,,자본시장법상 투자일임업 정의(찾기쉬운 생활법령) 기반 추정
값사전|국내채권|PD_EXG_MKT,장내,장내채권(거래소시장 거래),"한국거래소(KRX)에 상장되어 일반채권시장·소액채권시장 등에서 가격·시간 우선의 경쟁매매로 거래되는 채권(24,749건). 최소 액면 1천원~1만원 단위 소액 거래가 가능하고 호가가 공개되어 가격 투명성이 높으며, 첨가소화채권은 전용 소액채권시장에서 거래된다.",장내채권;거래소 채권;KRX 상장채권;일반채권시장;소액채권시장,,high,,http://open.krx.co.kr/contents/OPN/01/01020000/OPN01020000.jsp (KRX 채권시장 안내)
값사전|국내채권|PD_EXG_MKT,장외,장외채권(장외시장 거래),"거래소를 거치지 않고 증권회사 창구·브로커를 통해 매도자와 매수자가 1:1 상대매매로 거래하는 채권(17,645건). 증권사가 보유한 채권을 고객에게 판매하는 형태가 일반적이며, 국내 채권 유통은 기관 간 장외거래 비중이 압도적으로 높다.",장외채권;OTC 채권;증권사 판매 채권;상대매매 채권;점두거래,,high,,http://open.krx.co.kr/contents/OPN/01/01020000/OPN01020000.jsp (KRX 채권시장 안내); https://www.daishin.com/content/w/fnmall/bondrp/listedBondIntroduce.ds?p=1183&v=769&m=1021 (대신증권 장내채권 소개)
